Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Planner calls,Sum Of Cost
empty-32-32,0.8,0.1,10,20,7,RCbssEff,1.44473,1,153
empty-32-32,0.8,0.1,10,20,7,IDP,1.44332,1,153
empty-32-32,0.8,0.1,10,20,7,IRC,1.43748,1,179
empty-32-32,0.8,0.1,10,20,8,RCbssEff,1.45632,1,162
empty-32-32,0.8,0.1,10,20,8,IDP,1.42988,1,162
empty-32-32,0.8,0.1,10,20,8,IRC,1.4153,1,194
empty-32-32,0.8,0.1,10,20,9,RCbssEff,1.44545,1,136
empty-32-32,0.8,0.1,10,20,9,IDP,2.99018,1,136
empty-32-32,0.8,0.1,10,20,9,IRC,1.95621,1,147
empty-32-32,0.8,0.1,10,20,10,RCbssEff,1.36471,1,133
empty-32-32,0.8,0.1,10,20,10,IDP,1.31788,1,133
empty-32-32,0.8,0.1,10,20,10,IRC,1.318,1,157
empty-32-32,0.8,0.1,10,20,11,RCbssEff,1.51064,1,142
empty-32-32,0.8,0.1,10,20,11,IDP,1.53022,1,142
empty-32-32,0.8,0.1,10,20,11,IRC,1.60304,1,167
empty-32-32,0.8,0.1,10,20,12,RCbssEff,1.409,1,124
empty-32-32,0.8,0.1,10,20,12,IDP,1.39127,1,124
empty-32-32,0.8,0.1,10,20,12,IRC,1.39609,1,140
empty-32-32,0.8,0.1,10,20,13,RCbssEff,1.46928,1,133
empty-32-32,0.8,0.1,10,20,13,IDP,1.44925,1,133
empty-32-32,0.8,0.1,10,20,13,IRC,1.44794,1,145
empty-32-32,0.8,0.1,10,20,14,RCbssEff,1.48373,1,141
empty-32-32,0.8,0.1,10,20,14,IDP,1.28603,1,141
empty-32-32,0.8,0.1,10,20,14,IRC,1.28432,1,165
empty-32-32,0.8,0.1,10,20,15,RCbssEff,1.52241,1,132
empty-32-32,0.8,0.1,10,20,15,IDP,1.53538,1,132
empty-32-32,0.8,0.1,10,20,15,IRC,1.49158,1,149
empty-32-32,0.8,0.1,10,20,16,RCbssEff,1.40733,1,146
empty-32-32,0.8,0.1,10,20,16,IDP,1.37441,1,146
empty-32-32,0.8,0.1,10,20,16,IRC,1.38178,1,163
empty-32-32,0.8,0.1,10,20,17,RCbssEff,1.25706,1,147
empty-32-32,0.8,0.1,10,20,17,IDP,1.28707,1,147
empty-32-32,0.8,0.1,10,20,17,IRC,1.30263,1,167
empty-32-32,0.8,0.1,10,20,18,RCbssEff,1.37663,1,125
empty-32-32,0.8,0.1,10,20,18,IDP,1.33089,1,125
empty-32-32,0.8,0.1,10,20,18,IRC,1.3281,1,139
empty-32-32,0.8,0.1,10,20,19,RCbssEff,1.40402,1,163
empty-32-32,0.8,0.1,10,20,19,IDP,1.42202,1,163
empty-32-32,0.8,0.1,10,20,19,IRC,1.35954,1,179
empty-32-32,0.8,0.1,10,20,20,RCbssEff,1.36366,1,143
empty-32-32,0.8,0.1,10,20,20,IDP,1.34569,1,143
empty-32-32,0.8,0.1,10,20,20,IRC,1.36696,1,165
empty-32-32,0.8,0.1,10,30,1,RCbssEff,2.45549,1,158
empty-32-32,0.8,0.1,10,30,1,IDP,2.65217,1,158
empty-32-32,0.8,0.1,10,30,1,IRC,2.41997,1,178
empty-32-32,0.8,0.1,10,30,2,RCbssEff,2.45834,1,172
empty-32-32,0.8,0.1,10,30,2,IDP,2.48415,1,172
empty-32-32,0.8,0.1,10,30,2,IRC,2.48846,1,182
empty-32-32,0.8,0.1,10,30,3,RCbssEff,2.63226,1,190
empty-32-32,0.8,0.1,10,30,3,IDP,2.59042,1,190
empty-32-32,0.8,0.1,10,30,3,IRC,2.5976,1,221
empty-32-32,0.8,0.1,10,30,4,RCbssEff,2.56193,1,185
empty-32-32,0.8,0.1,10,30,4,IDP,2.52392,1,185
empty-32-32,0.8,0.1,10,30,4,IRC,2.542,1,208
empty-32-32,0.8,0.1,10,30,5,RCbssEff,2.52013,1,179
empty-32-32,0.8,0.1,10,30,5,IDP,2.52892,1,179
empty-32-32,0.8,0.1,10,30,5,IRC,2.50607,1,199
empty-32-32,0.8,0.1,10,30,6,RCbssEff,2.33725,1,195
empty-32-32,0.8,0.1,10,30,6,IDP,2.3631,1,195
empty-32-32,0.8,0.1,10,30,6,IRC,2.35821,1,224
empty-32-32,0.8,0.1,10,30,7,RCbssEff,2.77318,1,199
empty-32-32,0.8,0.1,10,30,7,IDP,2.77317,1,199
empty-32-32,0.8,0.1,10,30,7,IRC,2.76684,1,224
empty-32-32,0.8,0.1,10,30,8,RCbssEff,2.61808,1,201
empty-32-32,0.8,0.1,10,30,8,IDP,4.32524,1,201
empty-32-32,0.8,0.1,10,30,8,IRC,2.58754,1,229
empty-32-32,0.8,0.1,10,30,9,RCbssEff,2.51395,1,164
empty-32-32,0.8,0.1,10,30,9,IDP,2.50746,1,164
empty-32-32,0.8,0.1,10,30,9,IRC,2.50201,1,188
empty-32-32,0.8,0.1,10,30,10,RCbssEff,2.54646,1,183
empty-32-32,0.8,0.1,10,30,10,IDP,2.54867,1,183
empty-32-32,0.8,0.1,10,30,10,IRC,2.55468,1,215
empty-32-32,0.8,0.1,10,30,11,RCbssEff,2.68944,1,191
empty-32-32,0.8,0.1,10,30,11,IDP,2.70305,1,191
empty-32-32,0.8,0.1,10,30,11,IRC,2.64659,1,215
empty-32-32,0.8,0.1,10,30,12,RCbssEff,,,
empty-32-32,0.8,0.1,10,30,12,IDP,,,
empty-32-32,0.8,0.1,10,30,12,IRC,2.55175,1,195
empty-32-32,0.8,0.1,10,30,13,RCbssEff,2.49311,1,173
empty-32-32,0.8,0.1,10,30,13,IDP,2.48668,1,173
empty-32-32,0.8,0.1,10,30,13,IRC,2.50431,1,189
empty-32-32,0.8,0.1,10,30,14,RCbssEff,2.60925,1,194
empty-32-32,0.8,0.1,10,30,14,IDP,2.6188,1,194
empty-32-32,0.8,0.1,10,30,14,IRC,2.58136,1,223
empty-32-32,0.8,0.1,10,30,15,RCbssEff,2.46602,1,164
empty-32-32,0.8,0.1,10,30,15,IDP,2.60395,1,164
empty-32-32,0.8,0.1,10,30,15,IRC,2.46984,1,186
empty-32-32,0.8,0.1,10,30,16,RCbssEff,2.57241,1,199
empty-32-32,0.8,0.1,10,30,16,IDP,2.57066,1,199
